"","CCL.Open","CCL.High","CCL.Low","CCL.Close","CCL.Volume","CCL.Adjusted"
"2020-10-27",14.04,14.17,13.73,13.76,24449800,13.76
"2020-10-28",13.24,13.27,12.29,12.3,58953200,12.3
"2020-10-29",12.34,13.09,12.11,12.98,31579500,12.98
"2020-10-30",12.78,14.48,12.62,13.71,76419100,13.71
"2020-11-02",13.49,13.65,12.93,13.55,31928100,13.55
"2020-11-03",13.59,13.98,13.47,13.71,26494900,13.71
"2020-11-04",13.69,13.87,13.26,13.34,27613000,13.34
"2020-11-05",13.53,14.23,13.45,14.18,27600300,14.18
"2020-11-06",13.91,14.14,13.66,13.82,19585600,13.82
"2020-11-09",18.49,19.860001,17.709999,19.25,185304300,19.25
"2020-11-10",18.540001,18.67,16.4,16.73,119449500,16.73
"2020-11-11",16.950001,16.99,16.08,16.209999,57841400,16.209999
"2020-11-12",15.64,15.85,14.88,14.93,87592200,14.93
"2020-11-13",15.19,16.200001,14.98,16.01,159666300,16.01
"2020-11-16",17.34,18,16.91,17.57,112274700,17.57
"2020-11-17",17.200001,18.58,16.940001,18.049999,63499700,18.049999
"2020-11-18",17.540001,18.299999,17.440001,17.59,72257800,17.59
"2020-11-19",17.67,18.25,17.459999,18.190001,44098300,18.190001
"2020-11-20",18.16,18.280001,17.33,17.370001,52433300,17.370001
"2020-11-23",17.870001,18.360001,17.629999,18.18,50751300,18.18
"2020-11-24",19.389999,20.43,19.059999,20.23,80233200,20.23
"2020-11-25",20.48,20.9,19.92,20.65,60387900,20.65
"2020-11-27",21,22.25,20.860001,21.58,46919100,21.58
"2020-11-30",21.77,21.77,19.83,19.98,86740700,19.98
"2020-12-01",20.99,21.01,20.049999,20.15,47884200,20.15
"2020-12-02",19.809999,21.27,19.23,21.16,52282400,21.16
"2020-12-03",21.48,23.5,21.370001,22.879999,92899300,22.879999
"2020-12-04",23.540001,23.709999,22.6,23.450001,65203900,23.450001
"2020-12-07",23.389999,23.450001,22.700001,23.200001,47155000,23.200001
"2020-12-08",23.01,23.92,22.950001,23.57,42765200,23.57
"2020-12-09",23.969999,24.379999,21.969999,22.690001,66956200,22.690001
"2020-12-10",22.25,23.07,22.16,22.32,50011800,22.32
"2020-12-11",22.639999,22.82,21.280001,21.32,52517400,21.32
"2020-12-14",22.32,22.75,20.93,20.93,55423500,20.93
"2020-12-15",21.219999,21.709999,19.950001,21.530001,56761600,21.530001
"2020-12-16",21.530001,22.209999,21.309999,21.76,35103700,21.76
"2020-12-17",21.889999,21.9,21.309999,21.629999,25810800,21.629999
"2020-12-18",21.610001,21.98,21,21.459999,68420700,21.459999
"2020-12-21",20.219999,21.299999,20.030001,21.059999,51476700,21.059999
"2020-12-22",21.07,21.26,19.75,19.809999,39933700,19.809999
"2020-12-23",20.120001,21.08,20.030001,20.940001,31385200,20.940001
"2020-12-24",20.98,21.08,20.43,20.84,14819300,20.84
"2020-12-28",21.309999,22.049999,21.02,21.709999,33112800,21.709999
"2020-12-29",22.219999,22.27,21.360001,21.43,26851200,21.43
"2020-12-30",21.52,22.09,21.379999,21.790001,23606400,21.790001
"2020-12-31",21.620001,21.790001,20.9,21.66,25679300,21.66
"2021-01-04",21.700001,21.709999,20.040001,20.379999,40642500,20.379999
"2021-01-05",20.18,20.85,20.15,20.6,32464400,20.6
"2021-01-06",20.540001,20.92,20.16,20.4,35295900,20.4
"2021-01-07",20.48,21.280001,20.469999,20.74,28989000,20.74
"2021-01-08",20.870001,21.02,20.18,20.469999,30370000,20.469999
"2021-01-11",20.17,20.440001,19.629999,20.139999,31213700,20.139999
"2021-01-12",20.049999,20.139999,19.610001,20.129999,33169500,20.129999
"2021-01-13",19.860001,20.200001,19.68,20.1,24791400,20.1
"2021-01-14",20.459999,21.549999,20.450001,20.92,46177600,20.92
"2021-01-15",20.780001,21.4,20.57,20.790001,33762400,20.790001
"2021-01-19",21,21.26,20.610001,20.870001,21273500,20.870001
"2021-01-20",21.01,21.209999,20.59,20.780001,21272500,20.780001
"2021-01-21",20.700001,20.879999,20.32,20.74,20209300,20.74
"2021-01-22",20.309999,20.43,20.040001,20.219999,24748800,20.219999
"2021-01-25",19.799999,19.809999,18.73,19.219999,55839500,19.219999
"2021-01-26",19.4,19.51,18.620001,18.719999,44110700,18.719999
"2021-01-27",18.41,19.42,17.959999,18.98,50578900,18.98
"2021-01-28",20.1,20.67,19.66,19.74,59670200,19.74
"2021-01-29",19.700001,19.809999,18.379999,18.67,50346100,18.67
"2021-02-01",18.959999,19.129999,18.41,18.799999,27139000,18.799999
"2021-02-02",19.219999,19.6,18.98,19.450001,27697100,19.450001
"2021-02-03",19.629999,20.49,19.440001,20.440001,33548800,20.440001
"2021-02-04",21,21.33,20.66,21.049999,32541100,21.049999
"2021-02-05",21.389999,21.75,21.129999,21.309999,29887300,21.309999
"2021-02-08",21.6,21.809999,21.25,21.610001,22166600,21.610001
"2021-02-09",21.42,21.42,20.68,21.049999,26144100,21.049999
"2021-02-10",21.15,21.65,20.870001,20.93,27930900,20.93
"2021-02-11",20.9,21.129999,20.459999,20.719999,22698400,20.719999
"2021-02-12",20.1,20.83,20.049999,20.6,25063700,20.6
"2021-02-16",21.16,22.559999,20.959999,22.469999,55038100,22.469999
"2021-02-17",22.280001,24.059999,21.879999,23.200001,59742500,23.200001
"2021-02-18",22.969999,23.15,22.379999,22.889999,26606400,22.889999
"2021-02-19",23.620001,24.719999,23.48,24.59,52483300,24.59
"2021-02-22",25.139999,27.33,24.65,25.969999,87361900,25.969999
"2021-02-23",25.08,26.73,23.459999,26.459999,115819500,26.459999
"2021-02-24",27.09,28.18,26.73,27.01,92985300,27.01
"2021-02-25",27.91,28.24,25.07,25.469999,71020500,25.469999
"2021-02-26",25.889999,26.860001,25.27,26.75,58092900,26.75
"2021-03-01",27.549999,27.92,26.02,26.309999,59643100,26.309999
"2021-03-02",26.91,27.85,26.540001,27.59,49295000,27.59
"2021-03-03",28.450001,29.59,28.18,28.67,71576000,28.67
"2021-03-04",29.09,29.43,26.23,27.4,74016500,27.4
"2021-03-05",27.110001,27.16,23.26,26.09,83747400,26.09
"2021-03-08",27.040001,27.27,25.799999,26.690001,48007700,26.690001
"2021-03-09",26.99,27.85,25.799999,27.58,42549100,27.58
"2021-03-10",27.4,28.42,26.67,26.700001,41997600,26.700001
"2021-03-11",27.02,27.77,26.48,27.469999,33297300,27.469999
"2021-03-12",27.379999,28.5,27.290001,28.459999,32490600,28.459999
"2021-03-15",28.98,30.120001,28.9,29.790001,53480800,29.790001
"2021-03-16",29.950001,29.98,27.85,28.25,51042700,28.25
"2021-03-17",28.15,28.950001,27.82,28.93,30463300,28.93
"2021-03-18",29.49,29.74,28.02,28.27,46998200,28.27
"2021-03-19",28.48,29.09,27.129999,28.959999,41506400,28.959999
"2021-03-22",28.309999,28.469999,27.35,27.48,33792000,27.48
"2021-03-23",27,27.34,25.18,25.33,51242200,25.33
"2021-03-24",26.25,27.370001,24.15,24.85,72339100,24.85
"2021-03-25",23.91,26.040001,23.719999,25.85,47085000,25.85
"2021-03-26",26.25,26.51,25.209999,26.059999,28542000,26.059999
"2021-03-29",26.049999,26.139999,25.25,25.629999,19988900,25.629999
"2021-03-30",25.700001,26.83,25.66,26.65,23735600,26.65
"2021-03-31",26.58,26.799999,25.91,26.540001,21560400,26.540001
"2021-04-01",26.99,27.1,26.530001,26.860001,19640300,26.860001
"2021-04-05",27.799999,28.73,27.690001,28.110001,40105700,28.110001
"2021-04-06",28.17,29.09,27.85,28.6,35528100,28.6
"2021-04-07",29.42,30.629999,28.870001,29,70953700,29
"2021-04-08",29.129999,29.129999,27.82,28.559999,37870800,28.559999
"2021-04-09",28.799999,29.58,28.49,29.299999,36287700,29.299999
"2021-04-12",28.9,29.08,27.48,27.75,39161600,27.75
"2021-04-13",27.110001,27.940001,26.73,27.82,27690600,27.82
"2021-04-14",28.01,28.75,27.85,27.940001,23267500,27.940001
"2021-04-15",28.18,28.200001,27.120001,27.32,24024400,27.32
"2021-04-16",27.530001,27.790001,26.82,27.030001,22092400,27.030001
"2021-04-19",27.1,27.27,26.389999,26.889999,22214500,26.889999
"2021-04-20",26.48,26.51,25.120001,25.719999,31217000,25.719999
"2021-04-21",25.65,27.35,25.25,27.33,31354100,27.33
"2021-04-22",26.969999,27.9,26.77,26.91,29698400,26.91
"2021-04-23",27,27.41,26.57,27.27,19297600,27.27
"2021-04-26",27.82,28.5,27.309999,27.549999,20033500,27.549999
"2021-04-27",27.59,27.879999,27.139999,27.809999,18145200,27.809999
"2021-04-28",27.700001,28.27,27.57,27.799999,17273000,27.799999
"2021-04-29",28.790001,29.139999,27.129999,27.209999,40714900,27.209999
"2021-04-30",27,28.01,26.870001,27.959999,21653500,27.959999
"2021-05-03",28.02,28.360001,27.530001,27.93,21866600,27.93
"2021-05-04",27.48,27.559999,26.200001,26.68,33649300,26.68
"2021-05-05",26.82,27.309999,26.370001,26.52,25678100,26.52
"2021-05-06",26.48,26.83,25.52,25.950001,25871400,25.950001
"2021-05-07",25.99,26.860001,25.879999,26.76,20185500,26.76
"2021-05-10",26.83,26.83,26.23,26.27,18093900,26.27
"2021-05-11",25.33,26.120001,25.09,25.879999,28145500,25.879999
"2021-05-12",25.5,25.84,24.68,24.780001,24001500,24.780001
"2021-05-13",24.959999,25.6,24.290001,25.120001,28167000,25.120001
"2021-05-14",25.530001,27.26,25.51,27.200001,35569900,27.200001
"2021-05-17",27.299999,27.6,26.790001,27.52,29753400,27.52
"2021-05-18",27.65,28.620001,27.42,28,33424800,28
"2021-05-19",27.01,27.799999,26.74,27.68,26292100,27.68
"2021-05-20",27.65,27.68,26.959999,27.530001,24022300,27.530001
"2021-05-21",27.889999,28.040001,27.16,27.17,20551500,27.17
"2021-05-24",27.379999,28.15,26.9,27.9,26473300,27.9
"2021-05-25",28.25,29.370001,28.23,28.58,38680700,28.58
"2021-05-26",28.84,29.42,28.629999,29.370001,24530200,29.370001
"2021-05-27",29.57,30,29.219999,30,30294500,30
"2021-05-28",29.959999,30.07,29.41,29.559999,25635800,29.559999
"2021-06-01",30.190001,30.75,29.91,30.15,36826700,30.15
"2021-06-02",30.309999,31.5,29.93,31.309999,36078200,31.309999
"2021-06-03",31.139999,31.299999,30.35,30.67,24269800,30.67
"2021-06-04",30.92,31.110001,30.25,30.540001,19384100,30.540001
"2021-06-07",30.75,31.459999,30.65,30.889999,24165700,30.889999
"2021-06-08",31.110001,31.52,30.610001,31.08,25061900,31.08
"2021-06-09",31.299999,31.35,30.43,30.450001,18447300,30.450001
"2021-06-10",30.639999,30.77,29.41,29.83,30486500,29.83
"2021-06-11",29.5,30.040001,29.290001,29.93,20215000,29.93
"2021-06-14",29.870001,29.98,28.629999,28.75,24538300,28.75
"2021-06-15",28.82,29.389999,28.41,28.610001,19070900,28.610001
"2021-06-16",28.98,29.49,28.690001,29.280001,25453900,29.280001
"2021-06-17",29.200001,29.719999,28.41,28.42,26049300,28.42
"2021-06-18",28.120001,28.52,27.73,28.18,26749900,28.18
"2021-06-21",28.299999,28.700001,27.91,28.67,21897600,28.67
"2021-06-22",28.65,28.690001,27.799999,28.059999,18403400,28.059999
"2021-06-23",28.110001,28.49,28.02,28.15,17916700,28.15
"2021-06-24",28.129999,28.540001,27.389999,27.459999,31193600,27.459999
"2021-06-25",27.530001,28.23,27.52,28.129999,31580700,28.129999
"2021-06-28",27.42,27.530001,26,26.15,63786300,26.15
"2021-06-29",26.16,26.49,25.76,25.780001,33185800,25.780001
"2021-06-30",25.790001,26.48,25.690001,26.360001,22820200,26.360001
"2021-07-01",26.59,26.85,26.120001,26.360001,19363500,26.360001
"2021-07-02",26.26,26.299999,25.700001,26.059999,20454000,26.059999
"2021-07-06",26.08,26.280001,24.93,25.02,30647200,25.02
"2021-07-07",24.860001,25.290001,23.870001,24.08,36383500,24.08
"2021-07-08",23.139999,24.16,22.84,23.719999,37066500,23.719999
"2021-07-09",24.07,24.34,23.620001,24.26,23124400,24.26
"2021-07-12",23.969999,24.01,23.559999,23.860001,23022800,23.860001
"2021-07-13",23.559999,23.559999,22.82,22.85,27175500,22.85
"2021-07-14",23.01,23.360001,22.48,22.58,26614200,22.58
"2021-07-15",22.299999,22.459999,21.370001,21.950001,43232200,21.950001
"2021-07-16",22.26,22.360001,20.799999,20.92,41516000,20.92
"2021-07-19",19.719999,20.299999,19.190001,19.719999,85011700,19.719999
"2021-07-20",19.92,21.379999,19.620001,21.190001,68222400,21.190001
"2021-07-21",21.74,23.360001,21.67,23.190001,76771400,23.190001
"2021-07-22",22.76,22.879999,22.190001,22.709999,40877000,22.709999
"2021-07-23",22.709999,22.799999,21.889999,21.959999,32632400,21.959999
"2021-07-26",21.75,23.200001,21.709999,23.16,37050500,23.16
"2021-07-27",22.950001,23.33,22.49,22.799999,26484800,22.799999
"2021-07-28",23.190001,23.389999,22.200001,22.82,27108200,22.82
"2021-07-29",23.08,23.34,22.700001,22.709999,26426800,22.709999
"2021-07-30",22.219999,22.68,21.49,21.65,36760800,21.65
"2021-08-02",21.83,22.559999,21.360001,21.459999,34093900,21.459999
"2021-08-03",21.57,21.6,20.52,21.43,33254000,21.43
"2021-08-04",21.07,21.690001,20.82,21.040001,33239400,21.040001
"2021-08-05",21.16,22.65,21.139999,22.549999,32938000,22.549999
"2021-08-06",22.85,23.1,22.41,23.08,30680700,23.08
"2021-08-09",22.870001,22.870001,21.99,22.709999,29949200,22.709999
"2021-08-10",22.82,23.85,22.719999,23.65,34886200,23.65
"2021-08-11",23.59,24.01,23.07,23.99,29487300,23.99
"2021-08-12",23.780001,23.879999,22.959999,23.360001,29141100,23.360001
"2021-08-13",23.299999,23.379999,22.74,22.860001,21235800,22.860001
"2021-08-16",22.43,22.93,21.940001,22.790001,25770200,22.790001
"2021-08-17",22.24,22.5,21.66,22.040001,26331800,22.040001
"2021-08-18",22.02,22.98,21.68,22.48,31060700,22.48
"2021-08-19",22,22.27,21.34,21.66,27943900,21.66
"2021-08-20",21.51,22.02,21.33,21.959999,22632800,21.959999
"2021-08-23",22.26,22.99,22.24,22.83,23992000,22.83
"2021-08-24",23.24,24.07,23.200001,23.84,32814300,23.84
"2021-08-25",23.98,24.32,23.41,24.110001,30576000,24.110001
"2021-08-26",23.83,24.32,23.24,23.469999,28762800,23.469999
"2021-08-27",23.57,24.57,23.540001,24.35,36693800,24.35
"2021-08-30",24.629999,24.639999,23.6,23.629999,27629300,23.629999
"2021-08-31",23.530001,24.190001,23.5,24.139999,28512600,24.139999
"2021-09-01",24.219999,24.42,23.309999,23.51,31875000,23.51
"2021-09-02",23.58,24.469999,23.120001,24.02,36546600,24.02
"2021-09-03",23.92,24.15,22.639999,22.959999,44194500,22.959999
"2021-09-07",22.700001,23.6,22.559999,23.559999,33580100,23.559999
"2021-09-08",23.57,23.809999,22.76,22.780001,24700600,22.780001
"2021-09-09",22.77,23.719999,22.620001,23.280001,27193100,23.280001
"2021-09-10",23.4,23.5,22.719999,22.75,25471400,22.75
"2021-09-13",23.030001,23.48,22.24,23.309999,36359500,23.309999
"2021-09-14",23.200001,23.5,22.700001,22.860001,24577500,22.860001
"2021-09-15",22.75,23.18,22.360001,23.17,21566100,23.17
"2021-09-16",23.110001,23.43,22.92,23.09,19305700,23.09
"2021-09-17",23.209999,23.84,23.139999,23.549999,33586000,23.549999
"2021-09-20",23.18,23.4,22.620001,23.24,32162300,23.24
"2021-09-21",23.43,23.690001,22.860001,22.959999,25614500,22.959999
"2021-09-22",23.17,23.93,23.17,23.610001,32222300,23.610001
"2021-09-23",24.01,25.059999,23.9,24.690001,48872400,24.690001
"2021-09-24",24.799999,25.950001,24.6,25.440001,48644500,25.440001
"2021-09-27",25.959999,27.389999,25.92,26.379999,58020600,26.379999
"2021-09-28",26.440001,26.99,26.110001,26.17,34642300,26.17
"2021-09-29",26.459999,26.49,25.48,25.52,27404000,25.52
"2021-09-30",25.440001,25.51,24.73,25.01,28685100,25.01
"2021-10-01",26.07,26.57,25.67,26.09,36843200,26.09
"2021-10-04",26.200001,26.42,25.24,25.34,33448100,25.34
"2021-10-05",25.530001,26.01,25.27,25.42,26161500,25.42
"2021-10-06",25.02,25.139999,24.360001,24.9,36943300,24.9
"2021-10-07",25.219999,25.280001,24.4,24.49,26234900,24.49
"2021-10-08",24.540001,24.700001,23.76,23.83,32061800,23.83
"2021-10-11",23.709999,24.440001,23.42,23.879999,26631100,23.879999
"2021-10-12",23.940001,24.370001,23.809999,24.33,25818400,24.33
"2021-10-13",24.4,24.4,23.610001,23.65,28606200,23.65
"2021-10-14",23.940001,24,23.58,23.73,19413900,23.73
"2021-10-15",24.059999,24.42,23.629999,23.67,22362900,23.67
"2021-10-18",23.450001,23.6,22.82,23.129999,37062300,23.129999
"2021-10-19",23.059999,23.059999,22.27,22.34,50814000,22.34
"2021-10-20",22.360001,22.77,22.139999,22.440001,27014600,22.440001
"2021-10-21",22.51,22.9,22.219999,22.33,26812500,22.33
"2021-10-22",22.200001,22.34,21.85,22.290001,29155700,22.290001
"2021-10-25",21.790001,22.17,21.719999,22.049999,26140400,22.049999
"2021-10-26",22.17,22.469999,21.66,21.82,25617900,21.82
"2021-10-27",21.9,22,21.610001,21.639999,20827900,21.639999
"2021-10-28",21.639999,22.08,21.309999,21.969999,23048700,21.969999
"2021-10-29",21.879999,22.469999,21.77,22.16,26720300,22.16
"2021-11-01",22.299999,23.1,22.01,23.07,27315500,23.07
"2021-11-02",22.98,23.07,22.549999,22.91,21579400,22.91
"2021-11-03",22.709999,23.33,22.57,23.17,23001300,23.17
"2021-11-04",23.33,23.49,22.73,22.879999,20186900,22.879999
"2021-11-05",24.4,25.290001,24.1,24.790001,67588300,24.790001
"2021-11-08",24.889999,25.07,24.450001,24.59,33083000,24.59
"2021-11-09",24.5,24.540001,23.709999,24.17,22673500,24.17
"2021-11-10",23.73,24.34,23.309999,23.49,21338300,23.49
"2021-11-11",23.34,23.629999,22.969999,23.02,19703700,23.02
"2021-11-12",22.950001,22.950001,22.059999,22.360001,37320300,22.360001
"2021-11-15",22.51,22.719999,22.139999,22.299999,22519600,22.299999
"2021-11-16",22.139999,22.139999,21.33,21.59,40285700,21.59
"2021-11-17",21.67,21.85,20.98,21.33,30081600,21.33
"2021-11-18",21.450001,21.58,20.57,20.950001,26850800,20.950001
"2021-11-19",20.360001,20.9,19.860001,20.49,49148700,20.49
"2021-11-22",20.5,20.91,20.15,20.33,29802700,20.33
"2021-11-23",20.540001,20.83,20.01,20.15,26273500,20.15
"2021-11-24",19.959999,20.65,19.76,20.16,30483200,20.16
"2021-11-26",18.07,18.280001,17.200001,17.950001,84158400,17.950001
"2021-11-29",18.809999,19.24,17.690001,18.16,58061500,18.16
"2021-11-30",17.790001,17.9,17.110001,17.620001,60131100,17.620001
"2021-12-01",18.120001,18.49,16.32,16.379999,82486400,16.379999
"2021-12-02",16.73,17.99,16.35,17.889999,76746800,17.889999
"2021-12-03",17.780001,17.799999,16.84,17.200001,59329100,17.200001
"2021-12-06",17.559999,19.190001,17.4,18.59,78131600,18.59
"2021-12-07",18.98,19.280001,18.32,18.5,62779400,18.5
"2021-12-08",18.700001,20.040001,18.540001,19.52,69762100,19.52
"2021-12-09",19.02,19.6,18.889999,19.190001,38179500,19.190001
"2021-12-10",19.18,19.360001,18.68,19.280001,33181500,19.280001
"2021-12-13",18.68,18.85,17.91,18.34,39686300,18.34
"2021-12-14",18.02,18.84,18.01,18.15,38288200,18.15
"2021-12-15",17.99,18.08,17.24,17.889999,45971600,17.889999
"2021-12-16",18,18.25,17.450001,17.57,45611100,17.57
"2021-12-17",17.700001,18.469999,17.41,18.280001,48588400,18.280001
"2021-12-20",17.67,19.290001,17.610001,18.9,59262500,18.9
"2021-12-21",19.33,20.73,19.26,20.540001,69186200,20.540001
"2021-12-22",20.549999,21.5,20.030001,21.25,62921900,21.25
"2021-12-23",21.540001,21.780001,20.879999,21.200001,39191000,21.200001
"2021-12-27",20.34,21.129999,20.030001,20.950001,37286800,20.950001
"2021-12-28",20.639999,21.799999,20.51,20.9,39749600,20.9
"2021-12-29",20.66,20.9,20.280001,20.790001,30313700,20.790001
"2021-12-30",20.76,21.51,20.27,20.530001,49120200,20.530001
"2021-12-31",20.51,20.77,20.02,20.120001,29363700,20.120001
"2022-01-03",20.559999,21.74,20.43,21.41,38836800,21.41
"2022-01-04",22.059999,22.379999,21.51,21.73,44776400,21.73
"2022-01-05",21.790001,22.17,21.059999,21.17,31833200,21.17
"2022-01-06",21.620001,21.99,21.02,21.07,31459900,21.07
"2022-01-07",21.35,22.290001,21.120001,21.9,37140600,21.9
"2022-01-10",22,22.129999,20.959999,21.4,32828800,21.4
"2022-01-11",21.379999,22.219999,21.110001,21.98,29608000,21.98
"2022-01-12",22.18,22.459999,21.799999,22.309999,33645000,22.309999
"2022-01-13",22.42,23.299999,22.370001,22.9,43271400,22.9
"2022-01-14",22.6,22.950001,22.27,22.950001,28270800,22.950001
"2022-01-18",22.52,22.76,21.91,21.98,29779000,21.98
"2022-01-19",21.93,21.959999,21.18,21.219999,27894500,21.219999
"2022-01-20",21.309999,21.98,20.73,20.799999,25457800,20.799999
"2022-01-21",20.68,20.690001,19.780001,19.99,41314300,19.99
"2022-01-24",19.08,19.76,18.25,19.74,52166800,19.74
"2022-01-25",19.25,20.4,19.09,20.200001,36484500,20.200001
"2022-01-26",20.540001,21.1,20.040001,20.290001,40706400,20.290001
"2022-01-27",20.459999,20.709999,18.940001,19.110001,42718200,19.110001
"2022-01-28",19.200001,19.280001,18.280001,18.969999,50152500,18.969999
"2022-01-31",18.780001,19.870001,18.15,19.809999,50989300,19.809999
"2022-02-01",19.950001,21.07,19.860001,20.93,38953800,20.93
"2022-02-02",20.719999,21.24,20.43,20.85,30717600,20.85
"2022-02-03",20.530001,20.959999,20.33,20.34,27585900,20.34
"2022-02-04",20.02,20.24,19.559999,19.959999,33287000,19.959999
"2022-02-07",20.139999,21.74,20.110001,21.52,41055700,21.52
"2022-02-08",21.719999,22.58,21.469999,22.549999,41620200,22.549999
"2022-02-09",22.83,23.360001,22.76,23.190001,39322700,23.190001
"2022-02-10",22.870001,23.860001,22.6,23.120001,42465600,23.120001
"2022-02-11",23.18,23.639999,21.99,22.040001,51041700,22.040001
"2022-02-14",22,22.52,21.27,21.360001,36570700,21.360001
